0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/6654c448-658f-4d73-bb1e-34d9fd39e9a5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/2ce1a35e-2ea7-47d4-a432-b6f72b1b7fe9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/1d66c8ee-e2f3-45c4-bff8-41fb33597c2f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/5724bb28-7f9a-4560-970f-c8f78cf9cb2e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/5d6d7c40-7d5d-4d00-b250-8a2ea87af770.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f8114e16-61b1-46e0-b13a-088bf5774b91.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/78811462-2605-4fd3-bcce-429e9821f1c6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/_admin/img/admin_bg_aside.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/img/img_admin/admin_ico_info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:34 +0900] "GET /Kmarket/admin/product/register.do HTTP/1.1" 200 18027
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:34 +0900] "GET /Kmarket/_admin/img/admin_bg_aside.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:34 +0900] "GET /Kmarket/img/img_admin/admin_ico_alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:50 +0900] "GET /Kmarket/admin/product/findCate2.do?cate1=13 HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:12:03 +0900] "GET /Kmarket/admin/product/findCate2.do?cate1=11 HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:12:43 +0900] "GET /Kmarket/admin/product/register.do HTTP/1.1" 200 18027
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:12:43 +0900] "GET /Kmarket/_admin/img/admin_bg_aside.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:12:46 +0900] "GET /Kmarket/admin/product/list.do HTTP/1.1" 200 45075
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:00 +0900] "GET /Kmarket/ HTTP/1.1" 200 36777
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:03 +0900] "GET /Kmarket/product/list.do?cate1=12&cate2=13 HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:03 +0900] "GET /Kmarket/img/img_main/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:07 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=13 HTTP/1.1" 200 23286
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:07 +0900] "GET /Kmarket/img/img_main/rating_star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:07 +0900] "GET /Kmarket/img/img_product/ico_power_dealer.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:13 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=13&ls=0&pg=1 HTTP/1.1" 200 23286
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:16 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=11 HTTP/1.1" 200 33534
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:21 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=11&ls=0&pg=2 HTTP/1.1" 200 33701
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:23 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=11&ls=0&pg=1 HTTP/1.1" 200 33534
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:25 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=11&ls=0&pg=2 HTTP/1.1" 200 33701
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:21:30 +0900] "GET /Kmarket/product/list.do?cate1=11&cate2=11&ls=0&pg=1 HTTP/1.1" 200 8206
